Transaction_ID,Customer_ID,Customer_Name,Segment,Country,Transaction_Date,Amount,Product_Category,Payment_Method,Fraud_Flag,Risk_Score,CPU_Processing_Time_ms,GPU_Processing_Time_ms
TXN100014,CUST1029,Enterprise Client 1029,Finance,UK,2025-10-31 18:59:55,4209.52,Software,Digital Wallet,0,40,0.1546,0.0109
TXN100015,CUST1049,Enterprise Client 1049,Healthcare,UK,2025-09-22 18:59:55,4170.08,Software,Credit Card,0,46,0.1647,0.0114
TXN100016,CUST1055,Enterprise Client 1055,Supply Chain,UK,2025-08-27 18:59:55,913.72,Consulting,ACH,1,79,0.1642,0.0155
TXN100017,CUST1010,Enterprise Client 1010,Retail,USA,2025-10-23 18:59:55,12360.55,Electronics,ACH,0,18,0.1576,0.0123
TXN100018,CUST1032,Enterprise Client 1032,Finance,USA,2025-04-17 18:59:55,1111.3,Consulting,Credit Card,0,22,0.1669,0.0163
TXN100019,CUST1018,Enterprise Client 1018,Finance,USA,2025-12-11 18:59:55,13881.54,Consulting,Credit Card,1,68,0.1693,0.0118
TXN100020,CUST1085,Enterprise Client 1085,Finance,USA,2026-01-24 18:59:55,7959.92,Electronics,Credit Card,0,34,0.1437,0.011
TXN100021,CUST1055,Enterprise Client 1055,Supply Chain,UK,2025-06-06 18:59:55,14722.9,Cloud Services,Credit Card,0,52,0.1219,0.0105
TXN100022,CUST1100,Enterprise Client 1100,Supply Chain,Germany,2026-04-28 18:59:55,5117.04,Consulting,ACH,0,44,0.152,0.0139
TXN100023,CUST1033,Enterprise Client 1033,Healthcare,USA,2026-06-08 18:59:55,2767.82,Cloud Services,Bank Transfer,0,41,0.2062,0.02
TXN100024,CUST1004,Enterprise Client 1004,Supply Chain,India,2025-10-13 18:59:55,240296.74,Software,Bank Transfer,0,71,0.1798,0.0166
TXN100025,CUST1009,Enterprise Client 1009,Finance,Singapore,2026-03-17 18:59:55,14242.38,Consulting,Bank Transfer,0,33,0.1431,0.01
TXN100026,CUST1067,Enterprise Client 1067,Healthcare,Germany,2025-12-27 18:59:55,2832.23,Software,Digital Wallet,0,30,0.2045,0.0141
TXN100027,CUST1037,Enterprise Client 1037,Healthcare,USA,2025-12-25 18:59:55,7058.37,Consulting,Bank Transfer,0,29,0.1416,0.0127
TXN100028,CUST1037,Enterprise Client 1037,Healthcare,USA,2026-05-16 18:59:55,3160.68,Electronics,Digital Wallet,0,29,0.1547,0.0118
TXN100029,CUST1034,Enterprise Client 1034,Healthcare,Singapore,2025-05-15 18:59:55,13020.04,Software,Digital Wallet,1,89,0.2012,0.0189
TXN100030,CUST1024,Enterprise Client 1024,Finance,India,2025-07-20 18:59:55,976.87,Software,Credit Card,0,10,0.1538,0.0112
TXN100031,CUST1024,Enterprise Client 1024,Finance,India,2025-10-12 18:59:55,6604.86,Electronics,Bank Transfer,0,10,0.2087,0.0185
TXN100032,CUST1049,Enterprise Client 1049,Healthcare,UK,2025-01-30 18:59:55,7078.21,Electronics,Bank Transfer,0,46,0.1749,0.0166
TXN100033,CUST1072,Enterprise Client 1072,Retail,UK,2025-10-20 18:59:55,12940.56,Software,ACH,0,43,0.1705,0.0151
TXN100034,CUST1004,Enterprise Client 1004,Supply Chain,India,2026-05-28 18:59:55,4203.43,Hardware,ACH,0,49,0.1903,0.014
TXN100035,CUST1045,Enterprise Client 1045,Finance,USA,2025-04-14 18:59:55,5740.91,Consulting,Bank Transfer,0,47,0.1651,0.0161
TXN100036,CUST1098,Enterprise Client 1098,Healthcare,Singapore,2026-03-08 18:59:55,6229.58,Cloud Services,Digital Wallet,0,27,0.1676,0.0165
TXN100037,CUST1092,Enterprise Client 1092,Supply Chain,USA,2025-08-31 18:59:55,8993.26,Software,Digital Wallet,1,65,0.1786,0.0147
TXN100038,CUST1022,Enterprise Client 1022,Healthcare,Germany,2025-01-22 18:59:55,297.85,Hardware,Credit Card,0,49,0.1828,0.0125
TXN100039,CUST1012,Enterprise Client 1012,Healthcare,USA,2025-02-27 18:59:55,12840.32,Cloud Services,ACH,0,58,0.1714,0.0136
TXN100040,CUST1078,Enterprise Client 1078,Supply Chain,Germany,2025-11-02 18:59:55,8727.85,Consulting,Credit Card,0,38,0.1964,0.0182
TXN100041,CUST1010,Enterprise Client 1010,Retail,USA,2025-03-27 18:59:55,3982.71,Hardware,Bank Transfer,0,18,0.153,0.0103
TXN100042,CUST1070,Enterprise Client 1070,Supply Chain,UK,2026-01-07 18:59:55,11104.01,Consulting,Credit Card,0,52,0.211,0.0191
TXN100043,CUST1021,Enterprise Client 1021,MSME,Germany,2025-01-31 18:59:55,14557.83,Consulting,Digital Wallet,0,58,0.142,0.0125
TXN100044,CUST1036,Enterprise Client 1036,Healthcare,USA,2025-06-27 18:59:55,14370.2,Cloud Services,Credit Card,0,62,0.1282,0.0105
TXN100045,CUST1073,Enterprise Client 1073,Finance,Germany,2026-06-26 18:59:55,14349.66,Software,Bank Transfer,0,18,0.1623,0.0126
TXN100046,CUST1046,Enterprise Client 1046,Supply Chain,UK,2025-05-09 18:59:55,6621.89,Electronics,Digital Wallet,0,50,0.13,0.01
TXN100047,CUST1002,Enterprise Client 1002,Healthcare,Singapore,2026-02-07 18:59:55,10698.44,Electronics,Credit Card,0,29,0.1937,0.0133
TXN100048,CUST1005,Enterprise Client 1005,Retail,India,2025-09-29 18:59:55,5285.0,Hardware,Credit Card,0,56,0.1224,0.0116
TXN100049,CUST1028,Enterprise Client 1028,Finance,India,2025-04-04 18:59:55,5892.13,Consulting,Digital Wallet,0,59,0.2171,0.0188
TXN100050,CUST1034,Enterprise Client 1034,Healthcare,Singapore,2025-07-18 18:59:55,6008.93,Electronics,ACH,0,51,0.1645,0.0161
TXN100051,CUST1001,Enterprise Client 1001,Finance,USA,2025-07-15 18:59:55,10706.37,Hardware,Digital Wallet,0,53,0.1964,0.0192
TXN100052,CUST1060,Enterprise Client 1060,Retail,Germany,2026-06-19 18:59:55,137317.42,Consulting,Credit Card,0,100,0.2188,0.0198
TXN100053,CUST1063,Enterprise Client 1063,Healthcare,Germany,2026-02-27 18:59:55,321.72,Hardware,ACH,0,54,0.1633,0.0158
TXN100054,CUST1046,Enterprise Client 1046,Supply Chain,UK,2026-01-09 18:59:55,10537.04,Hardware,Bank Transfer,0,50,0.1654,0.0112
TXN100055,CUST1028,Enterprise Client 1028,Finance,India,2025-03-11 18:59:55,3554.43,Cloud Services,Digital Wallet,0,59,0.128,0.0093
TXN100056,CUST1055,Enterprise Client 1055,Supply Chain,UK,2025-04-14 18:59:55,8921.13,Electronics,Bank Transfer,0,39,0.1337,0.009
TXN100057,CUST1035,Enterprise Client 1035,Finance,Germany,2025-08-18 18:59:55,2749.76,Cloud Services,Credit Card,0,17,0.1778,0.0162
TXN100058,CUST1026,Enterprise Client 1026,Retail,Germany,2026-04-11 18:59:55,6017.14,Consulting,ACH,0,39,0.1463,0.0113
TXN100059,CUST1021,Enterprise Client 1021,MSME,Germany,2025-09-29 18:59:55,8222.38,Software,Digital Wallet,0,58,0.16,0.0135
TXN100060,CUST1053,Enterprise Client 1053,MSME,India,2025-08-15 18:59:55,6344.67,Software,ACH,0,41,0.126,0.0117
TXN100061,CUST1039,Enterprise Client 1039,Retail,Germany,2025-11-14 18:59:55,12728.82,Electronics,Bank Transfer,0,11,0.2038,0.0187
TXN100062,CUST1089,Enterprise Client 1089,Finance,Singapore,2026-06-11 18:59:55,8463.31,Consulting,Bank Transfer,0,33,0.1608,0.0123
TXN100063,CUST1031,Enterprise Client 1031,MSME,Singapore,2025-09-12 18:59:55,9267.9,Hardware,Digital Wallet,0,26,0.1365,0.0112
TXN100064,CUST1078,Enterprise Client 1078,Supply Chain,Germany,2025-04-09 18:59:55,14147.61,Cloud Services,Credit Card,0,54,0.1971,0.0143
TXN100065,CUST1006,Enterprise Client 1006,Finance,Germany,2026-03-03 18:59:55,12367.6,Electronics,Credit Card,0,27,0.1402,0.0111
TXN100066,CUST1065,Enterprise Client 1065,Finance,Singapore,2025-08-21 18:59:55,6006.31,Software,ACH,0,35,0.1697,0.0133
TXN100067,CUST1007,Enterprise Client 1007,Healthcare,Germany,2026-01-10 18:59:55,4657.01,Software,Credit Card,0,58,0.1824,0.0148
TXN100068,CUST1030,Enterprise Client 1030,Finance,UK,2025-03-03 18:59:55,9490.2,Cloud Services,Bank Transfer,0,24,0.1357,0.0091
TXN100069,CUST1072,Enterprise Client 1072,Retail,UK,2026-01-09 18:59:55,5591.83,Software,Bank Transfer,0,43,0.2137,0.0191
TXN100070,CUST1020,Enterprise Client 1020,Supply Chain,Singapore,2025-07-23 18:59:55,3842.68,Cloud Services,Digital Wallet,0,31,0.2042,0.0138
TXN100071,CUST1058,Enterprise Client 1058,MSME,India,2025-11-19 18:59:55,19464.78,Electronics,ACH,0,60,0.2134,0.0187
TXN100072,CUST1064,Enterprise Client 1064,MSME,India,2026-01-29 18:59:55,7235.05,Cloud Services,Bank Transfer,0,13,0.1772,0.0151
TXN100073,CUST1046,Enterprise Client 1046,Supply Chain,UK,2025-02-20 18:59:55,11179.48,Hardware,Credit Card,0,64,0.1758,0.0132
TXN100074,CUST1095,Enterprise Client 1095,Healthcare,UK,2025-04-08 18:59:55,173512.13,Software,ACH,0,44,0.1483,0.0115
TXN100075,CUST1097,Enterprise Client 1097,Healthcare,Singapore,2026-01-18 18:59:55,4732.86,Hardware,Credit Card,0,23,0.2175,0.0216
TXN100076,CUST1059,Enterprise Client 1059,Healthcare,UK,2026-03-22 18:59:55,3825.82,Software,Digital Wallet,0,55,0.2127,0.0165
TXN100077,CUST1007,Enterprise Client 1007,Healthcare,Germany,2025-11-11 18:59:55,5161.54,Hardware,Credit Card,0,58,0.1316,0.01
TXN100078,CUST1062,Enterprise Client 1062,Healthcare,India,2025-05-19 18:59:55,14392.92,Electronics,Bank Transfer,0,40,0.1846,0.0164
TXN100079,CUST1039,Enterprise Client 1039,Retail,Germany,2026-05-03 18:59:55,14505.62,Software,ACH,0,11,0.1562,0.0138
TXN100080,CUST1051,Enterprise Client 1051,Healthcare,Singapore,2025-02-18 18:59:55,5893.7,Hardware,Bank Transfer,0,48,0.1419,0.0131
TXN100081,CUST1067,Enterprise Client 1067,Healthcare,Germany,2025-09-07 18:59:55,9562.52,Consulting,ACH,0,30,0.159,0.0134
TXN100082,CUST1077,Enterprise Client 1077,Finance,Singapore,2025-04-04 18:59:55,8894.0,Software,Bank Transfer,0,26,0.16,0.0137
TXN100083,CUST1064,Enterprise Client 1064,MSME,India,2025-09-19 18:59:55,5568.67,Software,ACH,0,13,0.1465,0.0135
TXN100084,CUST1010,Enterprise Client 1010,Retail,USA,2025-06-14 18:59:55,14757.03,Hardware,Bank Transfer,0,18,0.2057,0.0153
TXN100085,CUST1061,Enterprise Client 1061,Supply Chain,USA,2025-08-13 18:59:55,127.5,Hardware,ACH,0,32,0.1465,0.013
TXN100086,CUST1020,Enterprise Client 1020,Supply Chain,Singapore,2026-03-01 18:59:55,13951.55,Software,Digital Wallet,0,31,0.2027,0.0156
TXN100087,CUST1013,Enterprise Client 1013,Supply Chain,Germany,2026-04-18 18:59:55,1457.66,Consulting,Credit Card,0,55,0.1437,0.0099
TXN100088,CUST1027,Enterprise Client 1027,Healthcare,Germany,2025-11-30 18:59:55,16481.58,Consulting,Credit Card,0,57,0.1986,0.0143
TXN100089,CUST1020,Enterprise Client 1020,Supply Chain,Singapore,2025-12-24 18:59:55,12499.98,Consulting,ACH,0,31,0.1379,0.0094
TXN100090,CUST1020,Enterprise Client 1020,Supply Chain,Singapore,2026-01-11 18:59:55,7157.49,Electronics,Credit Card,0,31,0.1748,0.0139
TXN100091,CUST1001,Enterprise Client 1001,Finance,USA,2025-01-19 18:59:55,241.25,Hardware,Credit Card,0,53,0.1735,0.0146
TXN100092,CUST1005,Enterprise Client 1005,Retail,India,2025-03-30 18:59:55,12036.02,Software,Digital Wallet,0,56,0.149,0.0113
TXN100093,CUST1079,Enterprise Client 1079,Retail,Germany,2025-07-12 18:59:55,8958.72,Hardware,Bank Transfer,0,27,0.1986,0.0158
TXN100094,CUST1006,Enterprise Client 1006,Finance,Germany,2026-04-28 18:59:55,3005.25,Hardware,ACH,0,11,0.1381,0.0114
TXN100095,CUST1029,Enterprise Client 1029,Finance,UK,2026-06-17 18:59:55,8291.79,Electronics,Digital Wallet,0,40,0.155,0.0114
TXN100096,CUST1053,Enterprise Client 1053,MSME,India,2025-02-16 18:59:55,2992.07,Cloud Services,ACH,0,41,0.162,0.0136
TXN100097,CUST1085,Enterprise Client 1085,Finance,USA,2026-05-26 18:59:55,358.97,Hardware,Credit Card,0,34,0.1294,0.0088
TXN100098,CUST1084,Enterprise Client 1084,MSME,USA,2025-07-21 18:59:55,8599.64,Cloud Services,Bank Transfer,0,54,0.1651,0.0131
TXN100099,CUST1075,Enterprise Client 1075,Supply Chain,India,2025-10-16 18:59:55,1640.01,Electronics,Credit Card,0,48,0.2168,0.0208
TXN100100,CUST1080,Enterprise Client 1080,Retail,India,2025-08-21 18:59:55,1416.59,Consulting,Credit Card,0,49,0.1386,0.0138
TXN100101,CUST1007,Enterprise Client 1007,Healthcare,Germany,2025-09-11 18:59:55,9588.65,Software,Digital Wallet,0,58,0.1523,0.0146
TXN100102,CUST1011,Enterprise Client 1011,Healthcare,UK,2026-06-24 18:59:55,8011.67,Electronics,Credit Card,0,37,0.2116,0.0211
TXN100103,CUST1091,Enterprise Client 1091,Healthcare,India,2026-05-11 18:59:55,3497.68,Electronics,Bank Transfer,0,30,0.1669,0.0138
TXN100104,CUST1058,Enterprise Client 1058,MSME,India,2025-10-13 18:59:55,11540.5,Hardware,Credit Card,0,78,0.2065,0.0176
TXN100105,CUST1020,Enterprise Client 1020,Supply Chain,Singapore,2025-04-18 18:59:55,11633.77,Cloud Services,Credit Card,0,42,0.1932,0.0187
TXN100106,CUST1008,Enterprise Client 1008,Finance,USA,2026-01-09 18:59:55,2816.36,Software,Bank Transfer,0,19,0.2087,0.0195
TXN100107,CUST1077,Enterprise Client 1077,Finance,Singapore,2025-07-10 18:59:55,5771.05,Cloud Services,Credit Card,0,26,0.2169,0.0145
TXN100108,CUST1051,Enterprise Client 1051,Healthcare,Singapore,2025-12-28 18:59:55,14400.22,Hardware,Digital Wallet,0,48,0.1807,0.0162
TXN100109,CUST1067,Enterprise Client 1067,Healthcare,Germany,2025-06-19 18:59:55,9477.12,Electronics,ACH,0,30,0.1401,0.0103
TXN100110,CUST1045,Enterprise Client 1045,Finance,USA,2025-06-20 18:59:55,13786.92,Cloud Services,Digital Wallet,0,47,0.1224,0.0089
TXN100111,CUST1089,Enterprise Client 1089,Finance,Singapore,2026-04-10 18:59:55,6120.81,Consulting,ACH,0,33,0.1597,0.0154
TXN100112,CUST1057,Enterprise Client 1057,MSME,UK,2025-12-01 18:59:55,13806.97,Consulting,Digital Wallet,0,32,0.1896,0.013
TXN100113,CUST1087,Enterprise Client 1087,Retail,USA,2025-12-09 18:59:55,17565.62,Cloud Services,ACH,0,15,0.1932,0.0143
TXN100114,CUST1060,Enterprise Client 1060,Retail,Germany,2025-05-21 18:59:55,9621.66,Cloud Services,ACH,0,58,0.1649,0.014
TXN100115,CUST1043,Enterprise Client 1043,MSME,USA,2025-05-23 18:59:55,175821.96,Hardware,ACH,0,55,0.1979,0.0162
TXN100116,CUST1014,Enterprise Client 1014,Healthcare,India,2025-09-05 18:59:55,5332.43,Hardware,Bank Transfer,0,52,0.1591,0.0149
TXN100117,CUST1078,Enterprise Client 1078,Supply Chain,Germany,2025-07-02 18:59:55,9205.38,Consulting,Digital Wallet,0,38,0.1442,0.0114
TXN100118,CUST1080,Enterprise Client 1080,Retail,India,2026-02-08 18:59:55,7084.72,Software,Credit Card,0,49,0.209,0.0198
TXN100119,CUST1010,Enterprise Client 1010,Retail,USA,2026-01-04 18:59:55,14910.87,Software,Bank Transfer,0,18,0.2024,0.0152
TXN100120,CUST1094,Enterprise Client 1094,MSME,Germany,2025-08-26 18:59:55,4101.86,Software,Bank Transfer,0,55,0.181,0.0123
TXN100121,CUST1016,Enterprise Client 1016,Retail,UK,2026-03-23 18:59:55,9747.01,Consulting,Credit Card,0,53,0.1494,0.0117
TXN100122,CUST1023,Enterprise Client 1023,Supply Chain,India,2025-04-15 18:59:55,806.6,Consulting,Digital Wallet,0,40,0.2052,0.0142
TXN100123,CUST1064,Enterprise Client 1064,MSME,India,2025-09-30 18:59:55,13044.86,Software,ACH,0,13,0.1374,0.0132
TXN100124,CUST1017,Enterprise Client 1017,Retail,Germany,2026-06-18 18:59:55,3173.1,Electronics,Bank Transfer,0,55,0.1684,0.0159
TXN100125,CUST1026,Enterprise Client 1026,Retail,Germany,2025-11-10 18:59:55,16230.11,Software,Bank Transfer,0,39,0.1487,0.0104
TXN100126,CUST1061,Enterprise Client 1061,Supply Chain,USA,2026-05-07 18:59:55,14422.01,Cloud Services,Credit Card,0,49,0.1498,0.0118
TXN100127,CUST1047,Enterprise Client 1047,Finance,India,2026-02-05 18:59:55,1426.77,Hardware,Bank Transfer,0,31,0.1259,0.0122
TXN100128,CUST1084,Enterprise Client 1084,MSME,USA,2026-01-22 18:59:55,7683.93,Electronics,Credit Card,0,54,0.1461,0.012
TXN100129,CUST1070,Enterprise Client 1070,Supply Chain,UK,2025-10-10 18:59:55,13461.77,Consulting,ACH,0,33,0.1867,0.0125
TXN100130,CUST1097,Enterprise Client 1097,Healthcare,Singapore,2025-01-28 18:59:55,5951.7,Software,Credit Card,0,23,0.1665,0.013
TXN100131,CUST1076,Enterprise Client 1076,Retail,Germany,2026-06-22 18:59:55,10546.77,Software,Credit Card,0,25,0.1609,0.0143
TXN100132,CUST1029,Enterprise Client 1029,Finance,UK,2025-08-22 18:59:55,14002.21,Electronics,Credit Card,0,52,0.1348,0.0102
TXN100133,CUST1035,Enterprise Client 1035,Finance,Germany,2026-01-13 18:59:55,11889.99,Hardware,Bank Transfer,0,17,0.1911,0.0169
TXN100134,CUST1024,Enterprise Client 1024,Finance,India,2026-01-08 18:59:55,12143.13,Software,Bank Transfer,0,10,0.1602,0.0136
TXN100135,CUST1066,Enterprise Client 1066,Finance,India,2026-03-06 18:59:55,14259.86,Hardware,Bank Transfer,0,49,0.1717,0.0161
TXN100136,CUST1061,Enterprise Client 1061,Supply Chain,USA,2026-01-08 18:59:55,9845.3,Software,Credit Card,0,32,0.1313,0.0088
TXN100137,CUST1036,Enterprise Client 1036,Healthcare,USA,2026-03-27 18:59:55,4452.32,Cloud Services,Credit Card,0,44,0.2079,0.0168
TXN100138,CUST1086,Enterprise Client 1086,MSME,USA,2025-09-18 18:59:55,1300.2,Consulting,ACH,0,36,0.1704,0.0148
TXN100139,CUST1043,Enterprise Client 1043,MSME,USA,2025-07-06 18:59:55,11706.34,Cloud Services,ACH,0,20,0.1878,0.0148
TXN100140,CUST1069,Enterprise Client 1069,Supply Chain,UK,2026-06-30 18:59:55,7646.99,Cloud Services,Bank Transfer,0,46,0.1647,0.0162
TXN100141,CUST1060,Enterprise Client 1060,Retail,Germany,2025-11-23 18:59:55,2758.35,Cloud Services,ACH,0,58,0.186,0.0172
TXN100142,CUST1071,Enterprise Client 1071,Finance,Germany,2025-08-19 18:59:55,9389.78,Cloud Services,Bank Transfer,0,40,0.1976,0.0137
TXN100143,CUST1012,Enterprise Client 1012,Healthcare,USA,2025-02-08 18:59:55,14499.75,Electronics,Digital Wallet,0,58,0.1491,0.0108
TXN100144,CUST1093,Enterprise Client 1093,Retail,India,2025-03-03 18:59:55,12119.14,Electronics,Bank Transfer,0,17,0.1521,0.0138
TXN100145,CUST1096,Enterprise Client 1096,Finance,USA,2026-05-05 18:59:55,14495.85,Cloud Services,Credit Card,0,44,0.1493,0.0117
TXN100146,CUST1017,Enterprise Client 1017,Retail,Germany,2025-05-03 18:59:55,5157.1,Hardware,Credit Card,0,55,0.1589,0.0125
TXN100147,CUST1070,Enterprise Client 1070,Supply Chain,UK,2025-07-17 18:59:55,1594.01,Electronics,Bank Transfer,0,33,0.1924,0.0145
TXN100148,CUST1044,Enterprise Client 1044,Retail,USA,2026-03-28 18:59:55,12929.48,Software,Bank Transfer,0,58,0.1807,0.014
TXN100149,CUST1038,Enterprise Client 1038,Supply Chain,UK,2025-12-12 18:59:55,7034.57,Electronics,ACH,0,16,0.1383,0.0135
TXN100150,CUST1072,Enterprise Client 1072,Retail,UK,2025-12-24 18:59:55,11047.63,Consulting,Bank Transfer,0,43,0.1817,0.0125
TXN100151,CUST1045,Enterprise Client 1045,Finance,USA,2025-06-26 18:59:55,7504.94,Electronics,ACH,0,47,0.1602,0.0151
TXN100152,CUST1080,Enterprise Client 1080,Retail,India,2025-05-02 18:59:55,3395.19,Consulting,Credit Card,0,49,0.1711,0.0138
TXN100153,CUST1034,Enterprise Client 1034,Healthcare,Singapore,2026-01-19 18:59:55,10487.59,Electronics,Digital Wallet,0,51,0.2176,0.0158
TXN100154,CUST1051,Enterprise Client 1051,Healthcare,Singapore,2025-06-18 18:59:55,4449.74,Cloud Services,Digital Wallet,0,48,0.1479,0.0115
TXN100155,CUST1092,Enterprise Client 1092,Supply Chain,USA,2025-04-14 18:59:55,2229.89,Hardware,Bank Transfer,0,31,0.1323,0.013
TXN100156,CUST1046,Enterprise Client 1046,Supply Chain,UK,2025-09-28 18:59:55,6341.32,Cloud Services,Bank Transfer,0,50,0.1266,0.0117
TXN100157,CUST1088,Enterprise Client 1088,Retail,Germany,2025-05-06 18:59:55,12827.4,Cloud Services,ACH,0,33,0.1668,0.0118
TXN100158,CUST1037,Enterprise Client 1037,Healthcare,USA,2025-05-01 18:59:55,346.14,Hardware,ACH,0,29,0.2115,0.0164
TXN100159,CUST1005,Enterprise Client 1005,Retail,India,2026-04-24 18:59:55,14045.74,Hardware,Digital Wallet,0,56,0.1885,0.0176
TXN100160,CUST1009,Enterprise Client 1009,Finance,Singapore,2025-10-02 18:59:55,8720.08,Consulting,ACH,0,33,0.1539,0.0129
TXN100161,CUST1074,Enterprise Client 1074,Healthcare,Singapore,2026-04-17 18:59:55,9252.7,Electronics,ACH,0,58,0.1545,0.0123
TXN100162,CUST1074,Enterprise Client 1074,Healthcare,Singapore,2025-12-28 18:59:55,15406.51,Software,Bank Transfer,0,58,0.1652,0.0141
TXN100163,CUST1031,Enterprise Client 1031,MSME,Singapore,2025-05-05 18:59:55,9695.56,Software,Credit Card,0,26,0.2013,0.0166
TXN100164,CUST1041,Enterprise Client 1041,Retail,Germany,2026-03-06 18:59:55,1992.52,Software,Digital Wallet,1,58,0.1416,0.0141
TXN100165,CUST1087,Enterprise Client 1087,Retail,USA,2026-05-30 18:59:55,10003.5,Hardware,Digital Wallet,0,15,0.1804,0.0171
TXN100166,CUST1092,Enterprise Client 1092,Supply Chain,USA,2026-01-16 18:59:55,13611.56,Electronics,Credit Card,0,50,0.1271,0.0098
TXN100167,CUST1039,Enterprise Client 1039,Retail,Germany,2025-05-18 18:59:55,9054.01,Cloud Services,Digital Wallet,0,11,0.1775,0.0144
TXN100168,CUST1078,Enterprise Client 1078,Supply Chain,Germany,2025-08-11 18:59:55,11407.43,Cloud Services,Digital Wallet,0,38,0.1532,0.0133
TXN100169,CUST1040,Enterprise Client 1040,Finance,UK,2025-08-03 18:59:55,12280.48,Consulting,Bank Transfer,0,48,0.1702,0.0143
TXN100170,CUST1091,Enterprise Client 1091,Healthcare,India,2026-04-02 18:59:55,3311.14,Software,Bank Transfer,0,30,0.1392,0.0109
TXN100171,CUST1023,Enterprise Client 1023,Supply Chain,India,2025-02-11 18:59:55,8564.56,Electronics,ACH,0,40,0.2012,0.0143
TXN100172,CUST1091,Enterprise Client 1091,Healthcare,India,2025-04-14 18:59:55,4162.53,Hardware,Bank Transfer,0,30,0.1711,0.0142
TXN100173,CUST1053,Enterprise Client 1053,MSME,India,2026-06-29 18:59:55,1077.8,Software,ACH,0,41,0.1325,0.0116
TXN100174,CUST1027,Enterprise Client 1027,Healthcare,Germany,2025-08-08 18:59:55,353.02,Cloud Services,Bank Transfer,0,44,0.1612,0.0145
TXN100175,CUST1094,Enterprise Client 1094,MSME,Germany,2025-04-15 18:59:55,4373.4,Hardware,Bank Transfer,0,55,0.1717,0.0128
TXN100176,CUST1042,Enterprise Client 1042,Finance,USA,2025-07-03 18:59:55,4241.17,Software,Credit Card,0,41,0.1589,0.0131
TXN100177,CUST1050,Enterprise Client 1050,Finance,Germany,2025-12-14 18:59:55,8569.68,Electronics,Credit Card,0,49,0.2013,0.0173
TXN100178,CUST1001,Enterprise Client 1001,Finance,USA,2026-04-16 18:59:55,6167.83,Hardware,ACH,0,53,0.1612,0.011
TXN100179,CUST1061,Enterprise Client 1061,Supply Chain,USA,2025-03-23 18:59:55,10545.8,Consulting,Credit Card,0,52,0.1325,0.0123
TXN100180,CUST1010,Enterprise Client 1010,Retail,USA,2025-05-05 18:59:55,9870.09,Software,ACH,0,18,0.1757,0.0126
TXN100181,CUST1036,Enterprise Client 1036,Healthcare,USA,2025-07-22 18:59:55,9333.89,Software,Credit Card,0,44,0.1494,0.01
TXN100182,CUST1053,Enterprise Client 1053,MSME,India,2026-03-08 18:59:55,11590.78,Electronics,Bank Transfer,0,41,0.1423,0.0114
TXN100183,CUST1094,Enterprise Client 1094,MSME,Germany,2026-04-29 18:59:55,1588.85,Software,ACH,0,55,0.1918,0.0187
TXN100184,CUST1031,Enterprise Client 1031,MSME,Singapore,2025-06-10 18:59:55,14178.89,Electronics,ACH,0,26,0.169,0.0118
TXN100185,CUST1043,Enterprise Client 1043,MSME,USA,2025-10-30 18:59:55,12328.06,Electronics,ACH,0,20,0.1417,0.0095
