Transaction_ID,Customer_ID,Customer_Name,Segment,Country,Transaction_Date,Amount,Product_Category,Payment_Method,Fraud_Flag,Risk_Score,CPU_Processing_Time_ms,GPU_Processing_Time_ms
TXN200041,CUST2006,Wipro Technologies,MSME,India,2026-06-14 10:05:18,4800.00,Software,ACH,0,16,0.1434,0.0099
TXN200042,CUST2033,Vodafone Group,Healthcare,UK,2026-06-14 12:50:44,37000.00,Consulting,Bank Transfer,0,27,0.1734,0.0147
TXN200043,CUST2034,Meta Platforms,Supply Chain,USA,2026-06-15 08:20:10,82000.00,Cloud Services,Credit Card,0,41,0.1967,0.0175
TXN200044,CUST2035,SBI Group,Finance,India,2026-06-15 11:35:55,16000.00,Hardware,Bank Transfer,0,32,0.1612,0.0135
TXN200045,CUST2008,Flipkart India,Retail,India,2026-06-15 14:10:30,2100.50,Electronics,Digital Wallet,0,13,0.1312,0.0092
TXN200046,CUST2036,Credit Suisse,Finance,Germany,2026-06-16 09:45:22,220000.00,Consulting,Bank Transfer,1,96,0.2245,0.0215
TXN200047,CUST2037,Larsen & Toubro,Supply Chain,India,2026-06-16 12:20:40,48000.00,Hardware,ACH,0,36,0.1812,0.0158
TXN200048,CUST2038,Oracle Corp,MSME,USA,2026-06-16 15:05:15,9200.00,Software,Credit Card,0,22,0.1523,0.0113
TXN200049,CUST2039,Singtel Pte,Healthcare,Singapore,2026-06-17 08:50:33,31000.00,Cloud Services,Bank Transfer,0,25,0.1689,0.0144
TXN200050,CUST2040,PayPal Holdings,Finance,USA,2026-06-17 11:15:18,105000.75,Consulting,ACH,0,52,0.2045,0.0184
